City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,PM2.5_7d_avg,PM10_7d_avg,AQI_Bucket_General,AQI_Bucket_Label
Amaravati,2017-12-08,0.8241630872025636,0.8842855257949599,0.11824470384781668,0.7501710220276372,0.43429528472043283,0.31731962418010995,0.09215017064846416,0.7638464152225618,0.8795690650250095,0.048,0.31400000000000006,0.032357473035439135,0.7826086956521738,Very Poor,0.8730199976180423,0.9564991358839978,Poor,2
Amaravati,2017-12-09,0.49280698165950776,0.5867968509477944,0.12991785559878943,0.6147215761390068,0.37206905436743104,0.27778762630739234,0.03071672354948805,0.7274889568467549,0.7772220084647941,0.034666666666666665,0.23950000000000002,0.024653312788906007,0.4728260869565218,Moderate,0.6888513550091488,0.7901813941071505,Moderate,1
Amaravati,2017-12-10,0.3294470580214086,0.4176892290099838,0.03545179420665802,0.4625803803529896,0.25006441638752896,0.22159191632689243,0.034129692832764506,0.4471627590893645,0.8737976144671028,0.02666666666666667,0.21450000000000002,0.015408320493066256,0.29891304347826086,Moderate,0.5669312083382957,0.6717131977912353,Moderate,1
Amaravati,2017-12-11,0.38501397695506917,0.47266569908079353,0.10462602680501513,0.5691613079764675,0.3368977067766039,0.26839212905513204,0.0546075085324232,0.6075433231396533,0.9456201102988329,0.03066666666666667,0.2755,0.024653312788906007,0.33967391304347827,Moderate,0.5214132588430181,0.6278470163409253,Moderate,1
Amaravati,2017-12-12,0.5955546464853071,0.5439591854686194,0.1703415477734544,0.5754549185935149,0.37206905436743104,0.37546534302428647,0.0819112627986348,0.23547400611620792,0.5726561498012056,0.037333333333333336,0.35050000000000003,0.029275808936825885,0.4266304347826087,Moderate,0.5409101244031571,0.6174705989799216,Moderate,1
Amaravati,2017-12-13,0.425581236790073,0.40436293266481954,0.15369649805447472,0.47530441920919425,0.31383664004122647,0.31146959758907994,0.05119453924914675,0.1807679238871899,0.6430678466076696,0.032,0.30550000000000005,0.02157164869029276,0.3342391304347826,Moderate,0.5224174705774082,0.5845381780032128,Moderate,1
Amaravati,2017-12-14,0.45953501056794166,0.40084443858028773,0.12364894076956334,0.4094951429744152,0.2662973460448338,0.3417833717425989,0.04778156996587031,0.1804281345565749,0.7051430037193792,0.03066666666666667,0.2545,0.02157164869029276,0.25271739130434784,Moderate,0.5146003183161725,0.5604529934945413,Moderate,1
Amaravati,2017-12-16,0.5301697688688893,0.5366143290671593,0.18763510592304367,0.559310439184567,0.37155372326719915,0.2747739762453466,0.058020477815699655,0.2725110431532449,0.9381813518019751,0.032,0.22050000000000003,0.020030816640986132,0.3641304347826087,Moderate,0.4679139463626422,0.5049177333464473,Moderate,1
Amaravati,2017-12-17,0.7231199290925207,0.7029071557373445,0.1556420233463035,0.6431796415378301,0.39860860602937387,0.3272469420315547,0.0273037542662116,0.528712198436969,0.9070155187892779,0.04133333333333333,0.21600000000000003,0.03697996918335901,0.5516304347826086,Poor,0.5044878249477593,0.5234646133959056,Poor,2
Amaravati,2017-12-18,0.6732801527238017,0.7223468355543827,0.16299178555987895,0.7374469831714325,0.43094563256892554,0.32671512143237014,0.03754266211604095,0.46075433231396523,0.7590098755931769,0.034666666666666665,0.1885,0.029275808936825885,0.6222826086956521,Poor,0.5590887928887734,0.5721290975256775,Poor,2
Amaravati,2017-12-19,0.7107793004704438,0.7202357391036637,0.05728491137051449,0.588999863182378,0.280597784076269,0.3474561248005673,0.04436860068259386,0.5083248386000678,0.8577658073618059,0.037333333333333336,0.1565,0.027734976887519257,0.5597826086956521,Poor,0.6108205844458159,0.6116746989644658,Poor,2
Amaravati,2017-12-20,0.5576464171268836,0.5894797026872499,0.14440121054907046,0.6489259816664387,0.3960319505282143,0.3068604857294806,0.1023890784982935,0.43696907917091393,0.9942285494420932,0.03866666666666666,0.18500000000000003,0.023112480739599383,0.546195652173913,Poor,0.6048007275798226,0.6189459189838558,Poor,2
Amaravati,2017-12-22,0.5063748551169291,0.6368034481242029,0.16039775183744054,0.7656314133260365,0.4625096624581293,0.34515156887076764,0.05119453924914675,0.9986408426775397,0.7304091317173271,0.03866666666666666,0.22200000000000003,0.029275808936825885,0.38858695652173914,Moderate,0.6176308182024881,0.6560748057495327,Moderate,1
Amaravati,2017-12-23,0.5761232699256835,0.6163961824339182,0.11132728058798098,0.5740867423724176,0.3426951816542128,0.3673107605034569,0.05119453924914675,0.38600067957866113,0.9371553161472361,0.04133333333333333,0.195,0.026194144838212634,0.37228260869565216,Moderate,0.6361451261896256,0.6905059645080159,Moderate,1
Amaravati,2017-12-24,0.6723938092316084,0.703478911026081,0.07911802853437096,0.651799151730743,0.3660139139397062,0.4187200850912959,0.0750853242320819,0.35202174651715923,0.8049249711427472,0.04533333333333334,0.2405,0.04468412942989214,0.5706521739130435,Poor,0.6587304165177943,0.7171600792457603,Poor,2
Amaravati,2017-12-25,0.7413240608167997,0.7198399085191539,0.03458711629917855,0.4244082637843755,0.23048183457871682,0.3829108314128701,0.034129692832764506,0.39891267414203185,0.9753751442862638,0.044000000000000004,0.198,0.024653312788906007,0.5978260869565217,Poor,0.6616212470631544,0.7198648325863062,Poor,2
Amaravati,2017-12-26,0.7206654394218314,0.7142982803360163,0.1054907047124946,0.5951566561773157,0.35042514815769127,0.3981563552561603,0.058020477815699655,0.5973496432212028,0.8282672822880595,0.044000000000000004,0.2005,0.024653312788906007,0.6847826086956521,Poor,0.6691460681456459,0.7185791965828778,Poor,2
